method,metric,p1_seed_values,p2_seed_values,blockage_%,p1_value,p1_seed_std,p2_value,p2_seed_std,delta_pp,delta_seed_std
BL-AG,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AG,primary,123+456+789,123+456+789,20,91.455555,0.582221,91.188889,0.422076,0.266666,0.911196
BL-AG,primary,123+456+789,123+456+789,40,86.572222,0.692486,87.027778,0.380180,-0.455556,0.644707
BL-AG,primary,123+456+789,123+456+789,60,80.905556,1.549761,82.272222,0.834221,-1.366667,0.841131
BL-AG,primary,123+456+789,123+456+789,80,73.405556,3.045276,76.177778,2.171170,-2.772222,0.875648
BL-AG,primary,123+456+789,123+456+789,100,65.827778,4.883599,70.455556,3.060789,-4.627778,1.868328
BL-AW,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AW,primary,123+456+789,123+456+789,20,98.266667,0.044096,98.388889,0.067358,-0.122222,0.050917
BL-AW,primary,123+456+789,123+456+789,40,98.027778,0.250740,98.094444,0.312843,-0.066666,0.420647
BL-AW,primary,123+456+789,123+456+789,60,97.800000,0.212785,98.055556,0.183585,-0.255556,0.058532
BL-AW,primary,123+456+789,123+456+789,80,97.855556,0.221944,98.050000,0.125831,-0.194445,0.259451
BL-AW,primary,123+456+789,123+456+789,100,97.711111,0.286905,97.905555,0.242861,-0.194444,0.269430
FT:freeze_cnn,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
FT:freeze_cnn,primary,123+456+789,123+456+789,20,96.472222,0.125093,96.600000,0.280377,-0.127778,0.200924
FT:freeze_cnn,primary,123+456+789,123+456+789,40,95.338889,0.302459,95.155556,0.463182,0.183333,0.697815
FT:freeze_cnn,primary,123+456+789,123+456+789,60,94.894444,0.475609,94.633334,0.202073,0.261111,0.573811
FT:freeze_cnn,primary,123+456+789,123+456+789,80,94.622222,0.435039,94.144445,0.438537,0.477778,0.847272
FT:freeze_cnn,primary,123+456+789,123+456+789,100,93.883333,0.478133,93.638889,0.283986,0.244444,0.656661
