blocked_beam,seed_values,seed_count,blockage_%,ft_freeze,ft_train_frac,ft_epochs,ft_primary_%,ft_primary_seed_std,blag_primary_%,blag_primary_seed_std,blaw_primary_%,blaw_primary_seed_std
B1,123+456+789,3,0,freeze_cnn,0.010000,10,98.422222,0.117063,98.422222,0.117063,98.422222,0.117063
B1,123+456+789,3,20,freeze_cnn,0.010000,10,96.250000,0.202758,85.183334,0.076376,98.116667,0.142400
B1,123+456+789,3,40,freeze_cnn,0.010000,10,94.138889,0.659194,80.327778,0.435039,97.777778,0.133680
B1,123+456+789,3,60,freeze_cnn,0.010000,10,93.094444,0.258378,76.594445,1.881661,97.366667,0.101379
B1,123+456+789,3,80,freeze_cnn,0.010000,10,92.800000,0.350000,72.605556,3.522363,97.400000,0.204803
B1,123+456+789,3,100,freeze_cnn,0.010000,10,91.544444,0.441693,68.411111,5.002953,97.416667,0.173205
B3,123+456+789,3,0,freeze_cnn,0.010000,10,98.422222,0.117063,98.422222,0.117063,98.422222,0.117063
B3,123+456+789,3,20,freeze_cnn,0.010000,10,96.905555,0.298297,86.850000,0.909365,98.338889,0.063099
B3,123+456+789,3,40,freeze_cnn,0.010000,10,95.711111,0.337200,80.927778,1.162413,98.133333,0.060092
B3,123+456+789,3,60,freeze_cnn,0.010000,10,94.966667,0.212786,78.655555,1.791828,97.822222,0.335548
B3,123+456+789,3,80,freeze_cnn,0.010000,10,94.422222,0.053576,75.166667,2.096624,97.694445,0.069389
B3,123+456+789,3,100,freeze_cnn,0.010000,10,93.872222,0.692486,70.461111,1.837294,97.694445,0.069389
B4,123+456+789,3,0,freeze_cnn,0.010000,10,98.422222,0.117063,98.422222,0.117063,98.422222,0.117063
B4,123+456+789,3,20,freeze_cnn,0.010000,10,96.016667,0.332916,78.016667,1.817125,97.994444,0.287389
B4,123+456+789,3,40,freeze_cnn,0.010000,10,93.888889,0.571143,65.411111,5.127766,97.894444,0.338433
B4,123+456+789,3,60,freeze_cnn,0.010000,10,92.461111,0.631650,57.788889,7.932464,97.083333,0.491031
B4,123+456+789,3,80,freeze_cnn,0.010000,10,91.355555,0.807144,50.977778,5.962250,96.894444,0.183585
B4,123+456+789,3,100,freeze_cnn,0.010000,10,90.061111,0.670061,45.850000,4.320719,97.038889,0.283497
B6,123+456+789,3,0,freeze_cnn,0.010000,10,98.422222,0.117063,98.422222,0.117063,98.422222,0.117063
B6,123+456+789,3,20,freeze_cnn,0.010000,10,96.472222,0.125093,91.455555,0.582221,98.266667,0.044096
B6,123+456+789,3,40,freeze_cnn,0.010000,10,95.338889,0.302459,86.572222,0.692486,98.027778,0.250740
B6,123+456+789,3,60,freeze_cnn,0.010000,10,94.894444,0.475609,80.905556,1.549761,97.800000,0.212785
B6,123+456+789,3,80,freeze_cnn,0.010000,10,94.622222,0.435039,73.405556,3.045276,97.855556,0.221944
B6,123+456+789,3,100,freeze_cnn,0.010000,10,93.883333,0.478133,65.827778,4.883599,97.711111,0.286905
B7,123+456+789,3,0,freeze_cnn,0.010000,10,98.422222,0.117063,98.422222,0.117063,98.422222,0.117063
B7,123+456+789,3,20,freeze_cnn,0.010000,10,97.288889,0.176646,93.544445,0.429901,98.377778,0.094770
B7,123+456+789,3,40,freeze_cnn,0.010000,10,96.627778,0.205706,86.444444,0.034694,98.194445,0.125093
B7,123+456+789,3,60,freeze_cnn,0.010000,10,96.144444,0.362221,78.661111,2.503571,98.088889,0.063099
B7,123+456+789,3,80,freeze_cnn,0.010000,10,95.627778,0.546792,71.794444,5.322707,97.977778,0.050917
B7,123+456+789,3,100,freeze_cnn,0.010000,10,95.455556,0.409720,65.727778,8.099594,98.094444,0.138778
